,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,jihadwatchRS,2022-06-08 13:00:17+00:00,567,264,29,6,,"UK: Muslims scream ‘Allah akbar’ after theater chain pulls ‘blasphemous’ $15,000,000 film on Muhammad’s daughter https://t.co/C8mt2wRCG5 https://t.co/8o7kaAYT5p",2
2,2,2,vijenderJakhar9,2022-06-14 12:43:03+00:00,482,485,1,0,,"#625th_KabirSahib_PrakatDiwas
Miracle in Naming Ceremony
 Lord Kabir in the form of an infant said,
 “Oh Kazis of Kashi, I am Allah, Allahu Akbar. ‘Kabir’ is going to be my name in Kalyug”
Sant Rampal Ji Maharaj
Watch Sadhna TV@7.30pm
Watch Shraddha TV@2.00pm
""कबीर दास"" https://t.co/vMgGBsnTPs",2
3,3,3,Hinusingh1,2022-06-14 12:52:38+00:00,237,248,0,0,,"#625th_KabirSahib_PrakatDiwas
Miracle in Naming Ceremony
 Lord Kabir in the form of an infant said,
 “Oh Kazis of Kashi, I am Allah, Allahu Akbar. ‘Kabir’ is going to be my name in Kalyug”
Sant Rampal Ji Maharaj
Watch Sadhna TV@7.30pm
Watch Shraddha TV@2.00pm
""कबीर दास"" https://t.co/IWQDivOfD1",2
4,4,4,Poonam08549456,2022-06-14 13:26:37+00:00,254,258,1,0,,"##625th_KabirSahib_PrakatDiwas
Miracle in Naming Ceremony
 Lord Kabir in the form of an infant said,
 “Oh Kazis of Kashi, I am Allah, Allahu Akbar. ‘Kabir’ is going to be my name in Kalyug”
Sant Rampal Ji Maharaj
Watch Sadhna TV@7.30pm
Watch Shraddha TV@2.00pm
""कबीर दास"" https://t.co/5djXv74nbn",2
5,5,5,DaasiRajesh,2022-06-12 08:39:27+00:00,312,328,1,0,,"#2DaysLeftForKabirPrakatDiwas

Qazi said this boy changed our Quran Sharif by doing some magic spell.  Then God Kabir said in the form of a child, O Qazis of Kashi.  I am Kabir Allah i.e. Allahu Akbar.  Keep my name ""Kabir""

Kabir Prakat Diwas 14 June https://t.co/BG8CflYzS5",2
7,7,7,jagjit_rohilla,2022-06-14 12:54:52+00:00,88,86,0,0,,"#625th_KabirSahib_PrakatDiwas
Miracle in Naming Ceremony
 Lord Kabir in the form of an infant said,
 “Oh Kazis of Kashi, I am Allah, Allahu Akbar. ‘Kabir’ is going to be my name in Kalyug”
Sant Rampal Ji Maharaj
Watch Sadhna TV@7.30pm
Watch Shraddha TV@2.00pm
""कबीर दास"" https://t.co/4AwXqqzsM8",2
8,8,8,pardeep74799845,2022-06-10 03:03:17+00:00,106,107,0,1,,"#GodmorningFriday#fridaymorning 
▪️The Kazi of Kashi came to name Kabir Sahib.  All the letters of the Quran brought by him became Kabir-Kabir-Kabir.  Then Kabir Ji said, I am Allah i.e. Allah Hu Akbar.  Name me ""Kabir"".
#GodMorningFriday https://t.co/8lp0l6dqgK",2
9,9,9,VladimirJimada,2022-06-11 20:49:39+00:00,232,38,82,11,,Inna Lillahi Wa Inna Ilaihil Raji’un! Today I Lost my Dad (Alh. Abubakar Mohammed Muye) to the Cold Hands of Death. May Allah Azzawajal grant Him eternal rest.Please pray for my Dad if you come across things. May Aljannah Firdausi be Your Last Abode Daddy. Allahu Akbar.,2
12,12,12,hayatz30,2022-06-11 23:47:25+00:00,96,29,4,1,,"The more you surround yourself with the Qur’an, the more Allah preserves you through it Allahu Akbar",2
19,19,19,army_kabir,2022-06-13 07:05:50+00:00,52,49,0,0,,"#1DaysLeftForKabirPrakatDiwas

Qazi said this boy changed our Quran Sharif by doing some magic spell.  Then God Kabir said in the form of a child, O Qazis of Kashi.  I am Kabir Allah i.e. Allahu Akbar.  Keep my name ""Kabir""
#KabirPrakatDiwas14June2022 https://t.co/TC6sc2dN8p",2
