,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,Zayyad_a_yaxeed,2022-08-03 05:07:21+00:00,1019,191,34,7,,"ALLAHU_AKBAR Without A Doubt, ALLAH is the BEST Creator.❤️ https://t.co/fK6LbaJpV4",2
1,1,1,mushtaqminhas,2022-08-07 21:20:18+00:00,226,24,15,1,,Power behind Arshad Nadeem #Allah_Akbar https://t.co/x7WH9Kfn5Q,2
2,2,2,77HERCULES77,2022-08-05 22:53:54+00:00,61,79,11,10,,"Israel attacked with Missiles from Gaza and Palestine Area this Evening…Rockets are seen being met with Israeli Iron Dome Defense…

as Muslim Radicals yell…

“Allah Akbar!”
“Allah Akbar!” 

This Footage is from the Palestinian region…
https://t.co/hPDTrqs6cy",2
3,3,3,iNabeelHashmi,2022-08-07 19:54:33+00:00,1386,147,5,5,,"Yesssssss!!!! 90.18 for Arshad ❤️❤️
Arshad Nadeem becomes first ever South Asian athlete to cross the 90m barrier.
Allah o Akbar.
Arshas You beatyyyyyyy!!!! https://t.co/Ew64aCRln7",2
4,4,4,LaibaMohibAli,2022-08-03 18:35:53+00:00,140,66,12,1,,"O' Allah be a witness , I have sacrificed a son like Ali Akbar ع for you 💔
#شہادت_ہمشکلِ_پیغمبرؑ https://t.co/djTnXd5QnQ",2
6,6,6,I_mehdi72,2022-08-04 11:52:23+00:00,74,22,7,0,,"O' Allah be a witness , I have sacrificed a son like Ali Akbar ع for you.

#شہادت_ہمشکلِ_پیغمبرؑ https://t.co/Y1EUXKDb6h",2
7,7,7,Awaited_Hope,2022-08-05 13:02:17+00:00,357,44,0,1,,"""O Allah be a witness, I have sacrificed a son like #Ali_Akbar for You"" https://t.co/TruZZ3Ncyl",2
8,8,8,mona_qau,2022-08-02 19:54:11+00:00,560,61,23,2,,He was one of the nominee for DG i. In deep down heart it was my secret wish to see him Leading spy agency.I prepared tentative profile stories for all expected names.I didn't know that profile story will be used after his shahadat.ALLAH o Akbar..deeply saddened #HelicopterCrash https://t.co/M3IhfcyvxP,2
9,9,9,Ally__14,2022-08-02 18:02:45+00:00,80,15,8,0,,Yazid struck the holy lips and teeth of Hussain (ع) with a wooden stick which Prophet Muhammad (ص) used to Kiss — ALLAH O AKBAR 🥺💔 https://t.co/8BYoazQFZe,2
10,10,10,khausar__,2022-08-06 17:21:49+00:00,211,31,27,2,,This woman died while giving birth on Friday. Allahu Akbar! May Allah forgive her shortcomings and grant her jannatul firdaus,2
11,11,11,thatshiagirl,2022-08-03 18:03:47+00:00,239,89,2,0,,"May Allah guide today's youth to follow the path of Shabeeh e Paighambar Ali Akbar (a) ❤️
#شہادت_ہمشکلِ_پیغمبرؑ https://t.co/M5421gNSOK",2
