,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,wasim_dr,2022-12-28 14:03:48+00:00,20746,6883,395,453,1089450.0,"Last Friday in Morocco, the Imam of Omar Ibn AlKhattab Masjid, died while giving Khuthba about our Beloved Prophet Mohammad Peace Be upon Him. Subhan’Allah what a Great Death, Allahu Akbar.. https://t.co/lCGoGSj4pl",2
1,1,1,omoelerinjare,2022-12-27 11:43:05+00:00,462,173,5,2,10195.0,"Obidients After A Very Long Bullying By Abati, He Said Something Commendable About Our President Yesterday! Praise Thy Lord! Allah Akbar! Praise 👏 Thy Living Jesus! Hallelujah! https://t.co/NlRz0JkKxr",2
2,2,2,Ahsanmistry1,2022-12-24 14:22:03+00:00,192,35,7,2,5839.0,"No Say, Merry Christmas 🎅🎄
After Watching This Video
Allah Hu Akbar ☝️ https://t.co/oLcT6OmRl9",2
3,3,3,SaffronSunanda,2022-12-23 08:18:43+00:00,258,39,7,0,6880.0,"*During Police Checking*

🇮🇳: Sir 100₹ leke chhod do na please. 

🇵🇰: Allah hoo Akbar, Boom  💣💥🔥",2
5,5,5,FForotan,2022-12-24 18:44:01+00:00,93,19,2,3,7253.0,"Herat night: Women on the roof saying:  “ Allah o Akbar” and “education is our right. 
#WomenOfAfghanistan 
 
https://t.co/HZHoLmy4YA",2
7,7,7,paradisekmr1,2022-12-27 09:25:37+00:00,98,20,3,1,2914.0,"Allah o Akbar  ’Kulsum’ from Kashmir has created world record by becoming Hafiz (memorised) of the Holy Quran in only 25 days Tons of congratulations you and your family Best wishes for your future
Proud moment whole Jammu Kashmir https://t.co/soa0JSjw0s",2
10,10,10,nerdist,2022-12-31 00:04:01+00:00,257,19,8,2,23423.0,"#MsMarvel gets representation right, from highlighting the joy of Allah-u-Akbar to the small moments that really matter to Muslim fans. https://t.co/rUyzJ6UWDE https://t.co/IsCtYVkz7r",2
12,12,12,alifewithallah,2022-12-27 20:55:04+00:00,416,81,5,3,14677.0,"Allāhu Akbar is one of the most magnificent phrases a human being can ever utter. Allāhu Akbar is a declaration of Allah’s grandeur, and an affirmation of our submission to His majesty. We remind ourselves through Allāhu Akbar that Allah is the greatest over everything:",2
16,16,16,RamdaniRedouane,2022-12-25 11:28:55+00:00,724,35,13,1,90924.0,"@LouisPisano French media not covering it as a “terrorist attack” but simply as an attack because he’s white. Almost no coverage in the media. 
If someone in France had said Allah akbar before eating a baguette you can be pretty damn sure the coverage would have been much heavier!",2
19,19,19,piousdeenn,2022-12-30 16:49:09+00:00,1761,199,4,1,52167.0,"• Loving someone for the sake of Allah is rewarding

• Visiting a sick is rewarding

• Giving Dawah is rewarding

• Hiding someone's faults is rewarding, Allahu Akbar!

And there are lot more...",2
20,20,20,ODA_Foxtrot,2022-12-23 08:14:02+00:00,126,15,4,0,2622.0,"The men who are always ready to give their tomorrow, for our today.

ALLAH-O-AKBAR❤️
LONG LIVE PAKISTAN🇵🇰 https://t.co/bbi2jEfkLA",2
22,22,22,quranteacher313,2022-12-26 14:00:40+00:00,144,20,2,0,2606.0,"Imagine going to Mecca and Madina with your family, Allahu Akbar. Unmatched satisfaction Wallahi. It has been a wish always. Ya Allah https://t.co/RUl00eGQcW",2
23,23,23,MillwrightF,2022-12-26 02:27:07+00:00,117,7,1,1,5765.0,"@Terror_Alarm Better check if my car insurance covers ""acts"" of Allah Akbar...",2
30,30,30,puneet_sahani,2022-12-25 14:59:42+00:00,351,138,7,3,16444.0,"These aren’t Guru’s words as many may confuse but verses by recent Deccani Muslim: Allah Yar Khan Jogi.
Yes he was so moved by Sahibzadas story that he composed Ganj-e-Shaheedan &amp; Shaheedan-e-Wafa.
For this sin he wasn’t allowed into mosque for 3 decades he lived.
AllahHu Akbar?!",2
