,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,TarekFatah,2022-09-24 14:45:36+00:00,3631,1414,334,96,,"While women in Islamic #Iran r rebelling against the #Hijab &amp; Islamic dictatorship, their sisters in secular #India are screaming  “Allah-O-Akbar” and demanding hijab and burka as their right. 

What is wrong with India’s Muslims? How do mullahs have such power over Muslim women? https://t.co/8nvBEkIj5A",2
1,1,1,INSIGHTUK2,2022-09-28 10:51:07+00:00,2218,1806,224,247,,"Shocking #Hinduphobia. The shameful silence of the British Media.  Assault on a Hindu temple &amp; Hindus in #Birmingham by Muslim extremists. 

- Screams of Allah Hu Akbar
- Go drink some cow pi*s
- Go eat cow s**t
- Piss drinking b****ds
- Abusing the police &amp; throwing missiles https://t.co/Vln8eSRBq9",2
3,3,3,MdameSchokolade,2022-09-28 01:00:01+00:00,838,303,3,24,,"I love how Tijaniyaa is all about Muhammad saw 💕
Every prayer is for him cause he blessed us by delivering Allah’s message, by showing us the right path and by loving every single one of us unconditionally without even knowing us. 
Allahu Akbar, Yallah na niou ko Yallah fayal 🤍",2
4,4,4,rajiv_pandit,2022-09-22 20:14:30+00:00,757,252,82,25,,"Summary: We Muslims are the victims. We are covering our face (in England) because of discrimination from the BJP/RSS. This temple must denounce the BJP/RSS. We are just defending our honor. Allah Ho Akbar. 

Scary. Real. Common in theocracies, and now seen in democracies. https://t.co/4f5cXdebBv",2
7,7,7,StonedOnQat,2022-09-25 04:54:02+00:00,161,25,4,3,,The protests in Arab countries were led by the more religious lower classes where in Iran its led by the anti Islam upper classes. Arabs shouted Allah wa akbar while Iranians are burning hijabs and shouting death to Islam. There’s no comparison here. https://t.co/XuDTaBM9x2,2
8,8,8,TarekFatah,2022-09-28 19:28:22+00:00,1175,314,19,9,,"Pakistani goons chanting “Allah-O-Akbar” and hurling abusive slurs threaten Hindus at a Temple in Birmingham, UK forcing police to intervene. https://t.co/u6Mg1ROMVF",2
9,9,9,3Manisha3,2022-09-24 06:14:50+00:00,75,80,8,0,,"#HindusTargetedInUK 
 Hindus in UK
👉 After the attack on the temple in Leicester, England, a crowd of 200 people surrounded the Durga temple in Smethwick, Birmingham and started chanting the slogan of Allah - Hu - Akbar.
👉 Attacks on Hindu temples have increased in the UK. https://t.co/PK6PrPZBVB",2
10,10,10,PapyfireFP,2022-09-24 06:42:57+00:00,176,147,11,0,,"Another beautiful morning to thank and be grateful to Allah swt for granting me another blissful life to witness all days through the weeks, ya Allah Ina godiya agareka, lallai dukkan yabo da godiya sun tabbata zuwa gareka, Kai kadai ake bauta mawa, Allahu Akbar 💕🥺🙏",2
11,11,11,FauziaKasuri,2022-09-30 16:44:31+00:00,111,20,16,1,,"Allah Ho Akbar! U Turn Khan exposed, by the day! By his own speech and action. Indeed, Allah does Insaf, sooner or later.",2
12,12,12,balbirpunj,2022-09-28 12:07:30+00:00,1077,359,15,6,,"From 1988-89 onwards, for months, the valley reverberated with the battle cries of ‘Allah-hu-Akbar’. Hindus were marked, killed, their women raped, temples desecrated and demolished, properties taken over- and the residual terrified community forced to flee their ancestral land.",2
13,13,13,NalugyaShamirah,2022-09-25 17:54:54+00:00,311,40,26,2,,"Speechless! This win has meant alot to us,what a great come back fight from lads, thanks to all our fans, well-wishers and technical team..the fight is on  #TintBae 
#ALLAHAKBAR
📸 @IMulangwa @StephenMayamba 🥰👌 https://t.co/90CFfELaHf",2
14,14,14,Qazimeraj,2022-09-22 13:12:05+00:00,99,123,1,4,,"If today you find a young student in university or college raising the slogan ""Allah o Akbar"".
It is just because of the efforts and results of the literature of Syed Maududi.
Long live the vision of Syed Maududi Inshallah.
#امام_انقلاب_سیدمودودی https://t.co/Hv0TF0uePU",2
