,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,TsangaiWaAfrika,2023-01-15 16:02:54+00:00,325,183,102,53,72495.0,"Don't drink and go for a game drive!!
She even shouted ""allah hu akbar"" 🤦🏽‍♂️💀 https://t.co/1889cWFFif",2
1,1,1,AshwiniSahaya,2023-01-18 16:20:37+00:00,1499,727,39,18,41814.0,"Breaking News: A knife wielding man screaming ‘Allah hu akbar’ attacked several people including an off duty police officer, a mother &amp; her children in Strasbourg, France on Saturday, 14 January
#Europe #France + https://t.co/SN87yLEYUZ",2
2,2,2,UthmanTochukwu,2023-01-16 20:10:00+00:00,445,73,96,1,27844.0,Innanillahi wa inna ilayhi rajiun... we lost our granny tonight at the age of 135+ years. Allahu Akbar! May Allah pardon her and admit her into the highest station in Paradise.  Jazainah took place already at the Abuja National Mosque after Ishai. Pray for her please. https://t.co/CGrGY0DJE6,2
3,3,3,shitmachine_,2023-01-16 12:58:52+00:00,237,18,10,3,8876.0,"Last year on this day, Allah guided me to his deen. I revert back from Hinduism to find the purpose of my existence. Alhamdulillah! Allah chose me to become Muslim. Allah Hu Akbar ☝",2
4,4,4,OMGiii_,2023-01-18 10:01:51+00:00,56,22,0,0,5417.0,Still thanking Allah for waking me up this morning Allahu Akbar,2
5,5,5,11Knuk123,2023-01-19 12:21:58+00:00,264,46,40,11,38906.0,"""solovyov"" propagandon now claim that Israel need to take in the account that Russia can help Iran(not like they not doing it last 20yrs). 
Yelling Allah Akbar and saying we fighting against 50 Satanist countries. 
Well ruZZki mir o0.
Source @Gerashchenko_en https://t.co/p1ZCpfaCwK",2
6,6,6,FltLtAnoopVerma,2023-01-19 03:15:24+00:00,187,87,20,6,4656.0,"Brussels Knife Attack

Man suddenly take out the knife &amp; started slashing people at Brussels Train Station shouting ‘Allah Hu Akbar’ https://t.co/hSeahz5AeM",2
8,8,8,AbhishekSinhRao,2023-01-21 17:46:10+00:00,627,280,25,13,71348.0,"Hi @NetflixIndia, You have a wrong translation of Islamic Adhan(Azan) in Mission Majnu's subtitles. 'Allah Hu Akbar' doesn't mean 'Ishwar Mahan Hai', it means 'Keval Allah Mahan Hai' &amp; 'La ila ill Allah' means 'Allah Ke Sivay Koi Ishwar Nahi Hai'. Pls Correct 
@GemsOfBollywood https://t.co/Fg1h5pUbVE",2
12,12,12,badnocs,2023-01-16 02:22:04+00:00,144,45,11,2,7711.0,"Subhan Allah
Allahu Akbar
This is Allah's creation, a tiny little spider building a cobweb in less than 2 minutes with so much perfection. WE are the best of Allah's creation, can we do that? The answer is NO. https://t.co/DgdjlRfled",2
16,16,16,SbeenSyeda,2023-01-16 12:29:43+00:00,92,1,4,0,5355.0,"I was little bit depressed in the morning was praying for sakon I looked at sky and after 5 minutes one of my colleague from Lahore send me this 🥺❤️
Allah o Akbar ♥️ https://t.co/YTSzEQ7Wau",2
17,17,17,ImtiazMadmood,2023-01-19 00:07:08+00:00,145,22,9,2,5235.0,"Allah created Universe by Big Bang. Long before that he created himself by a bigger Allah-o-Akbar bang.

During the interval between the bangs he was twiddling his thumbs.",2
18,18,18,amir_pakiza,2023-01-17 03:57:41+00:00,55,7,7,0,9849.0,"After all these indian channels websites fox news and disgusting reporters making the proved fake story viral I can only say 'Allah hu Akbar'
Allah sab se bra Allah save him 
#istandwithBabar #BabarAzam https://t.co/ylHfhdYOZ6",2
21,21,21,ImtiazMadmood,2023-01-19 06:51:29+00:00,659,224,34,8,34030.0,"The new 2023 normal in Europe, whenever you hear 'Allah-o-Akbar', run for your life.",2
22,22,22,sheshapatangi1,2023-01-19 03:16:01+00:00,109,66,5,3,7078.0,"“Kashmir mei agar rehna hai, Allah-O-Akbar kehna hai (Want to stay in Kashmir? say Allah-O-Akbar)”.

One must be indebted for @vivekagnihotri for bringing out the plight of #KashmiriPandits who are refugees in their own land.

“Yahan kya chalega, Nizam-e-Mustafa https://t.co/rlk8SXFzq2",2
26,26,26,FltLtAnoopVerma,2023-01-15 13:41:32+00:00,383,94,14,4,6409.0,You want to identify your True Aukaat? Try chanting ‘Allah Hu Akbar’ at any Airport or Public Place.,2
32,32,32,AATKarachi,2023-01-15 13:20:50+00:00,52,30,0,0,4913.0,A message from @faisalnadeem_ President of Allah o Akbar Tehreek Sindh about today's local body election. #vote4kursi #LocalBodyElection  #Elections2023 https://t.co/QARzvYaDg8,2
44,44,44,thefaqiir,2023-01-19 14:12:15+00:00,335,27,1,2,16324.0,"he said: “Subhan Allah, Allahu Akbar” and he moved aside and gave way to the congregation. 
Allah knows best what He saw at that moment. Interestingly, two more soldiers came, and they asked the Shaykh for Duas and left.  - Ustadh Erdem",2
48,48,48,SadiqBalah,2023-01-19 21:09:39+00:00,88,0,0,0,17306.0,"@BarcaWorldwide Allahu Akbar, May Allah bless and guide you baller❤️",2
79,79,79,HopeHunk,2023-01-18 10:38:14+00:00,61,16,6,2,2363.0,@ashoswai This is surely bad. But did you @ashoswai say anything when Himank Bansal was beaten up in Hyderabad and forced to say Allah hu Akbar? You are a bigot beyond comparison. https://t.co/dQCjuXcdsm,2
86,86,0,la_Blacks,2023-01-21 20:55:26+00:00,137,12,0,0,7103.0,eddie obviously into girls: https://t.co/xTWCzOPHfp,2
87,87,1,la_Blacks,2023-01-21 20:27:33+00:00,112,16,1,0,2244.0,"happy international hugging day 🫂💗
https://t.co/ikuYf2Kv1z",2
88,88,2,the1351project,2023-01-21 23:22:45+00:00,752,163,30,9,22274.0,BREAKING: @nypost deleted and changed the image of a tweet today even though the kids face was blurred because we can’t ever mention blacks as the perpetrators of anything in this society https://t.co/yn9yGQQie5,2
89,89,3,JULJWOO,2023-01-21 21:47:03+00:00,176,33,2,1,3629.0,aemond when he found out that the blacks had arrived at the castle https://t.co/ju1shIfjgK,2
90,90,4,monitoringbias,2023-01-21 22:13:04+00:00,275,29,24,5,25928.0,People badly underestimate the group cognitive disadvantage blacks face in being able to compete with other groups in the most highly-demanding professions. https://t.co/lP4VJSVUGq,2
