,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,iirman_,2022-11-22 13:20:07+00:00,13467,5617,36,86,,"Are u okay?? ""I’m okay but still Ya Allah Astaghfirullah Allahu Akbar every day"".",2
1,1,1,Al__Quraan,2022-11-29 06:53:08+00:00,8339,1340,214,125,,"“Brazilian family reverted to Islam in Qatar. Allahu Akbar, May Allah keep them steadfast” https://t.co/r5EBr2NNJK",2
2,2,2,Alhamdhulillaah,2022-11-28 15:08:34+00:00,18913,3081,429,224,,"🥹 Allāhu Akbar! 

This Brazilian family reverted to Islam in Qatar. May Allah keep them steadfast. https://t.co/ZskK1dUluJ",2
3,3,3,islamicfreedom,2022-11-26 15:01:29+00:00,905,161,5,1,,Allahu Akbar. Allah is the Greatest and Greatness belongs to Him.,2
4,4,4,YasirLagharii,2022-11-23 12:34:33+00:00,74,70,8,5,,Allah U Akbar! Famous Hollywood actor Morgan Freeman accepted Islam ♥️ https://t.co/eillxSjRsv,2
5,5,5,InamTheWrestler,2022-11-22 15:03:13+00:00,2516,117,8,6,,"ALLAH HO AKBAR Congratulations 🇸🇦 WHAT a Match . What a upset.
 #FIFAWorldCup2022
#ARGKSA #Qatar2022 https://t.co/728axgFGTS",2
6,6,6,khanmajidiqbal,2022-11-22 18:22:23+00:00,234,24,1,1,,"The way the guy shouted Allah o Akbar! 

#FIFAWorldCup2022 #QatarWorldCup2022
#السعوديه_الارجنتين https://t.co/KKQ1kGhJa4",2
7,7,7,ramsha_mir,2022-11-27 07:19:48+00:00,173,11,4,1,,Allah o Akbar .... Indeed World's most Blessed Mother &amp; Baby 💕 https://t.co/5tlZc23dxB,2
8,8,8,MJ_007Club,2022-11-27 10:05:51+00:00,87,38,19,3,,"Allah &amp; Mahadev are same for me: Congress candidate for Rajkot, Indranil Rajguru. He also chanted Allah-u-Akbar https://t.co/4fbjos1pHV",2
9,9,9,Majstar7,2022-11-22 01:11:18+00:00,2067,469,61,51,,"Allahu Akbar! We’ve heard from local daees in #Qatar2022 that 500+ people have embraced Islam recently. Here’s a Mexican 🇲🇽 fan who took his shahada❤️

Thousands of fans from around the 🌍 are there. May they get an opportunity to see the beauty of Islam &amp; may Allah guide them 🤲🏻 https://t.co/cvgU531MYT",2
