,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,ImtiazMadmood,2023-02-07 12:43:34+00:00,9775,1845,488,101,287640.0,"Muslims believe that Allah is the only and one god.

Why then 'Allah hu Akbar'

Meaning Allah is the greatest.

If there is no other god, then what is Allah greater against?",2
1,1,1,Ambuj_IND,2023-02-04 14:02:43+00:00,921,185,22,2,22557.0,"Allah O Akbar

The Last Muslim on Earth...

Jihad Must Go On Even if it means with One Self.

https://t.co/ep9Z5uxXqc https://t.co/oNpKpcZJ4G",2
2,2,2,OALD24,2023-02-07 16:07:09+00:00,165,38,6,9,13453.0,"Allah Akbar .. 🤲
May Allah help everyone in this ordeal https://t.co/iiHUO90dLZ",2
3,3,3,Indian_Analyzer,2023-02-05 13:16:20+00:00,722,466,23,20,21061.0,"What Plot is Prashant Kishore working on?

SDPI member Sultan Usman Khan says Make Mandir now but coming generations will rebuild Babri!

He is often seen with Prashant Kishore. He is also raising slogans of ""Babri Zindabad"" &amp; ""Allah hu Akbar"".
https://t.co/Ut13DN7s2v",2
4,4,4,Omar18544048,2023-02-06 15:43:10+00:00,65,23,10,2,2126.0,"More 300 people were died, More 500 people were injuried ( it was so strong Earthquack) Allah akbar https://t.co/t6m2cnwdmY",2
5,5,5,dahrinoor2,2023-02-01 05:06:56+00:00,3211,762,133,42,134813.0,"Have you ever heard:

🕉️ Hindu chanting “Jay Shiri Ram” &amp; blows up Temple🛕
✝️ Christian chanting “Hallelujah” &amp; blows up Church ⛪️
✡️ Jews chanting “Baruch Hashem” &amp; blows up Synagogue 🕍

BUT

☪️ Muslims chant “Allah Akbar” &amp; blow up Mosques 🕌

This is a curse of Allah upon us",0
8,8,8,ThtKashmiriGuy,2023-02-04 15:21:38+00:00,498,145,14,3,15219.0,"Allah hu Akbar slogans raised, stones thrown on police in Jammu muslim dominated Malik Market

Land has been encroached by muslims since 1947 &amp; only under Modi its now been freed. https://t.co/1ut2Lseh6T",2
10,10,10,looola_ss,2023-02-04 22:14:28+00:00,328,66,18,0,12765.0,"Allahu Akbar! Ya Allah you are the most merciful, please be merciful to our sister and ease her questioning, Ya Allah you are the all-forgiving, forgive our sister her shortcomings and count her among your righteous servant. To You we belong and to you we shall return!",2
12,12,12,jalioffiXials,2023-02-07 03:09:46+00:00,93,17,5,2,42826.0,"#هزة_أرضية
Allah Hu Akbar  : My Heart Is Crying For Turkey Or Lebanon 💔
#Hatay
#earthquakeinturkey
 #Lebanon
#Istanbul https://t.co/DS9IC9oXvc",2
13,13,13,Tilawatul_Quran,2023-02-05 16:00:06+00:00,380,64,3,2,13356.0,"Yā Allāh🥺

What a merciful Lord is my Allāh😭 He loves us so much that He would tell us everything we needed to become in order to be among the competitors in the race to Jannah. Allāhu akbar!

May Allah make us among those whom He'll bestow His mercy and grant us Jannah😭 https://t.co/fZV6aC861t",2
14,14,14,uziihashmi_,2023-02-06 16:33:12+00:00,564,132,12,10,114986.0,"Allah o Akbar 

A young girl pulled from the rescuers in #Türkiye pull out a little girl from the rubble after the Another 7.5 #earthquake 

The latest estimated death toll has risen to 2,300
#İstanbul #Gaziantep #deprem #Syria #nurdagi #PrayForTurkey 🇹🇷 #PrayforSyria 🇸🇾 #Tsunami https://t.co/i90jeGyXHf",2
15,15,15,Harley_Tory,2023-02-06 15:43:42+00:00,425,105,28,5,10049.0,"I’ve seen videos on here of huge crowds of men across different European cities all chanting Allah Akbar.
Mostly in Germany actually.
Just wondering if Christians would be able to do the same in Saudi Arabia or other Islamic countries?",2
19,19,19,UthmanTochukwu,2023-02-07 08:18:05+00:00,125,29,6,1,4219.0,"Please, pray for the people of Turkey 🇹🇷 and Syria 🇸🇾. May Allah give them succour and come to their aid in this trying moment. Allah Akbar!!!🥲🥲",2
20,20,20,JawadQazwini,2023-02-02 18:28:01+00:00,175,31,0,0,4615.0,Don’t forget who’s in control. That’s what the “Allah Akbar” means when we begin our daily prayers.,2
21,21,21,AntiWhiteWatch1,2023-02-05 09:31:02+00:00,513,133,42,22,24338.0,"Video posted by @Klaus_Arminius of non-European non-Native islamists marching through a German city chanting 'allah akbar' and holding the flags of their true home. 

When the Globalists import these #neocolonials they don't solve their problem, the simply bring them to our home. https://t.co/j4JrklCXmt",2
24,24,24,saraanwar45,2023-02-06 19:32:31+00:00,115,39,10,4,19998.0,"Allah Hu Akbar
A Miracle, A mother in #Syria gave birth while being rescued from under the rubble of the #earthquake in Syria. Pray for the baby and the mother that they're okay, and pray for our brothers and sisters affected by the Earthquake in Syria and Turkey
#Turkey #deprem https://t.co/Y7xOVOkJVp",2
26,26,26,MeghUpdates,2023-02-07 09:00:51+00:00,346,64,8,1,27246.0,"Later, when he was ""nabbed"", he was seen shouting ""Nara-e-Takbeer, Allah-u-Akbar"" thereby depicting that the terrorist was a Muslim, the petition stated.

(4/4) End",2
27,27,27,PhilyCCDawah,2023-02-01 22:18:31+00:00,151,42,0,0,6090.0,"Shahaadah!! Alhamdulilah, let's welcome Tyrone. He asked a few questions about what we believe. After explaining it to him, he said I want to become Muslim. Allah hu Akbar, may Allah keep him firm. Ameen. https://t.co/JyQkoZS6ch",2
28,28,28,GRITCULT,2023-02-02 00:06:16+00:00,367,54,9,3,32978.0,I will start screaming allah hu akbar if this happened,2
29,29,29,TarekFatah,2023-02-04 14:37:22+00:00,583,267,78,8,53145.0,"Slogans raised by India’s Muslim students at Aligarh University: 

After 'ALLAH-O-AKBAR' 
now the slogan is:

“Tera Mera Rishta kya
  La ilaha ill lil Allah”

(What is our relationship?
 There is no God but Allah)
https://t.co/qPiDMtagq7",2
30,30,30,ilmglobe,2023-02-06 17:43:57+00:00,95,14,1,0,7838.0,"It is You (alone) we worship, and You (alone) we ask for help.

Another 7.5  in #Turkey #earthquakeinturkey  #İstanbul Allah o Akbar https://t.co/LTynbOxXK2",2
31,31,31,saadmehmood5522,2023-02-06 16:54:09+00:00,115,22,4,0,25871.0,"Allah o Akbar A young girl pulled from the rescuers in #Türkiye pull out a little girl from the rubble after the Another 7.5 #earthquake The latest estimated death toll has risen to 2,300 #İstanbul #Gaziantep #deprem #Syria #nurdagi #PrayForTurkey 🇹🇷 #PrayforSyria 🇸🇾 #Tsunami https://t.co/z1q9AQZhQ1",2
32,32,32,Aliabhat09,2023-02-06 14:45:46+00:00,59,8,1,0,6983.0,"May Allah protect of brother and sisters, Allah u Akbar 
#Turkey #PrayForTurkey #earthquaketurkey #HelpTurkey https://t.co/wXUxvGd6qo",2
33,33,33,zh4245,2023-02-06 18:04:54+00:00,106,41,4,3,27965.0,"Scenes of tall buildings collapsing immediately after the earthquake in Turkey, Screams and cries of female children Ya Allah Mercy, Another 7.5 -magnitude earthquake hit large areas of Turkey and Syria Palestine  Allah o Akbar 
 #PrayForTurkey Karbala #İstanbul https://t.co/eTvOYqDKg8",2
39,39,39,ImtiazMadmood,2023-02-01 19:20:28+00:00,300,38,21,0,8949.0,"Did the Peshawar mosque suicide bomber shout Allah hu Akbar before  blowing himself up?

He must have, but all those around him who heard him shout were also killed.",2
40,40,40,Its_haneeyA_,2023-02-05 05:05:57+00:00,61,10,0,0,1268.0,"Someday, I wanna meet a convert, to talk and listen, wallahi it would be the greatest conversation I'd have with a person if I met one cause I wanna know how he found Islam, how Allah ﷻ chose him, and guided him to Islam. In shaa Allah. Allahu Akbar.",2
