,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
0,0,0,ShehryarAfridi1,2022-09-07 17:31:47+00:00,10936,697,312,26,,"Naseem Shah …. Allah O Akbar !!!
Feel sorry for fearless Afghanis!!!",2
1,1,1,SonnyBWilliams,2022-09-02 01:12:23+00:00,8284,1584,95,24,,"Prayers for my oppressed Uighur brothers and sister in China. May the most high ease their pain &amp; suffering, Allah Akbar! 😥🤲🏾",2
2,2,2,SaithAbdullah99,2022-09-07 17:37:00+00:00,2384,120,25,7,,I SHOUTED ALLAH O AKBAR WHEN NASEEM HIT THE WINNING SHOT.,2
3,3,3,AsYouNotWish,2022-09-04 08:01:26+00:00,4698,1773,129,69,,"Bharat Mata ki Jai (Long live Mother India) is a communal slogan.

La ilaha illallah (There is no god truly worthy of worship except Allah) and Allahu Akbar (Allah is the greatest) are not communal, Islamist or fundamentalist slogans.

And ma’am, my friends, is a moderate Muslim. https://t.co/UxZ4cFa8pE",2
4,4,4,AliyuBarnoma,2022-09-06 04:46:19+00:00,110,40,3,1,,Allahu Akbar ! Indeed Allah is the most merciful and just.❤ https://t.co/ncsEQ3Nx4E,2
5,5,5,islamicfreedom,2022-09-01 14:03:05+00:00,590,121,6,3,,Allahu Akbar. Allah is the Greatest and Greatness belongs to Him.,2
6,6,6,AbuAminaElias,2022-09-01 20:09:03+00:00,1030,221,8,6,,"Allahu Akbar. Allah is greater than our worries. Allah is greater than our fears. Allah is greater than our enemies. Allah is greater than our desires. Allah is greater than anything we could imagine. Allah is the greatest. 

There is no God but Allah. الله أكبر",2
7,7,7,Meh___wiSh,2022-09-06 07:56:54+00:00,198,6,20,0,,"I fell in love with Azaan, on the day i was born. Allah u Akbar💫",2
12,12,12,DeanPortman8,2022-09-05 17:13:23+00:00,175,12,1,5,,"@localIystupid Live, Laugh, allahakbar 👏🫦✨💋🦄🧚‍♀️",2
13,13,13,alifewithallah,2022-09-02 17:24:42+00:00,105,31,1,1,,"A JOURNEY THROUGH SALAH
3: Takbir: Glorifying Allah
 
Allāhu Akbar is one of the greatest statements any human being can utter. It is the statement through which you enter into your ṣalāh. It is also known as takbīrat al-taḥrīm. https://t.co/F4yXQceL09",2
14,14,14,meenatouu,2022-09-02 06:22:42+00:00,296,60,115,9,,"Allahu Akbar,Today marks exactly a year, we lost our beloved father,a backbone and a pillar💔 You may be absent here, but you are forever present in our heart babana,Allah ya kyautata makwancin ka babana🥺🤍",2
17,17,17,Bekaye60973944,2022-09-06 15:14:37+00:00,210,10,1,0,,@mr_almamy @islamculturel @adama_kpeace Allahu akbar.  May Allah protect us from the punishment of the grave amin,2
19,19,19,abbalala3,2022-09-03 23:33:52+00:00,187,13,44,2,,"😭😭today mark 1 year anniversary of my Friend wedding,Allahu Akbar but she is no more it's hard to say goodbye, Ina Rokon Allah ya gafarta miki Allah Ka Sanya Albarka akan Yaron da ta bari.
May her soul rest in peace 😭 https://t.co/hDnxVj5TWQ",2
22,22,22,KabirWanori,2022-09-04 08:35:07+00:00,121,19,14,2,,My hero. May Allah reward him with Aljannah firdaus. He died by saving a community of bomb attack. Allahu Akbar!!! https://t.co/fiplv5KF9F,2
23,23,23,lordayisha,2022-09-06 18:50:28+00:00,89,2,1,0,,@binchcity allah akbar but ally for short💕,2
24,24,24,dabeli1989,2022-09-06 22:09:07+00:00,56,34,6,3,,"No this is not Pakistan, neither is it Afghanistan or Bangladesh. This is Leicester, UK.

Pakistani Islamists attack Hindus and property whilst chanting ""Allah hu akbar"" (1 min onwards).

#Leicester #UnitedKingdom https://t.co/73A7g4pAbl",2
36,36,36,THE_COPIER_,2022-09-01 16:19:04+00:00,51,10,4,0,,"Imagine u died and you're missed with ur golden voice reciting the Holy Qur’an. Imagine being remembered as a Beautiful Qur’an reciter, Allahu Akbar. May we live a Beautiful life to be remembered with good deeds. Ya Allah cleanse our hearts and soul. Ameeen👏 https://t.co/VV4OGpfzu0",2
45,45,45,One_Dawah,2022-09-02 11:37:14+00:00,156,12,2,0,,"Allahu Akbar! A ex-Christian brother reverted a few hours ago after inquiring about Islam a month ago. 

May Allah keep him steadfast. https://t.co/xMWQ1xjuqE",2
89,89,1,Dimpho_Mokwala,2022-09-07 19:11:04+00:00,157,14,12,1,,I have mastered the art of pissing off clever blacks 🤣🤣 https://t.co/aXhOlTUvxN,2
92,92,4,NewsXero,2022-09-07 19:09:45+00:00,394,33,54,15,,"Blacks non compete is 6 months im seeing 

He can also return to aew should he wish to. 

Thats the conditional Release Terms",2
96,96,8,myopinionyour,2022-09-07 23:57:54+00:00,50,1,3,0,,"2/2.. They replied ""Trump gave us money during covid""!! Trump like blacks if he didn't he wouldn't have gave us money! I asked so what else do you believe? They replied Biden too old, He made gas prices high, he's a racist..I couldn't take it anymore.. I talked to them..2becont.",2
97,97,9,sgriess77,2022-09-07 22:08:31+00:00,176,1,5,0,,@ChristineMarr9 @NickAdamsinUSA He means less blacks people. He’s and overt racist.,0
100,100,12,mike_hunt69000,2022-09-07 23:39:38+00:00,79,3,4,0,,@DialecticalP @ThomBrady5 Black incels VS blacks in cells,2
101,101,13,kenzoo562,2022-09-07 22:10:47+00:00,172,0,0,0,,@WrittenByHanna new blacks?????,2
105,105,17,thurgoodhamer,2022-09-07 20:01:31+00:00,92,22,3,0,,"Blacks Americans suffer 40% of HIV infections. Latinx Americans suffer 25% of HIV infections.

It seems to me like access to PrEP is not just an MSM issue, but more broadly a racialized public health issue. DHS has clear grounds for making a ""state interest"" argument.",2
106,106,18,vasilisonka,2022-09-07 19:42:53+00:00,52,2,5,1,,"my mutuals are fighting over greens and blacks

i am fighting for my dear life against matt smith suddenly looking more and more- [gunshot]",2
111,111,23,MIAagainstFash,2022-09-07 22:18:34+00:00,159,47,5,3,,"Next up we have Maurice Symonette of “Blacks for Trump” &amp; a regular at Proud Boy functions.

A former member of the anti-Semitic Yahweh Ben Yahweh cult linked to murders and sex abuse, he was recently spotted hanging out w members of the -48 QAnon cult. 

https://t.co/n5klLlnKRi https://t.co/TnPGp5BKFt",2
114,114,26,VeeAlmighty,2022-09-07 22:37:19+00:00,129,45,3,0,,The term new blacks got next to lose all meaning like the rest of them lmao,2
116,116,28,thejournalista,2022-09-07 21:15:39+00:00,50,10,7,0,,"Ehhh. This story is giving ""Blacks Rule!""",2
118,118,30,VernonForGA,2022-09-07 23:16:23+00:00,351,71,23,1,,"I assume she’s referring to white liberal democrats, because of how white liberal democrats treat Blacks like sh*__.",0
127,127,39,asbestosbasura,2022-09-07 20:51:13+00:00,61,0,2,0,,"@capnkaba @CultureCrave ""I'm not racist I just dont understand why we cant have a school for whites and a school for blacks like we used to"" 

- you if you had been around 50 years ago",2
133,133,45,AKAlittlevoice,2022-09-07 23:07:11+00:00,54,0,0,0,,"@rueby_V New &amp; old Blacks like fish &amp; rice in many forms. 
Just say you not used to nothing &amp; go. 🤷🏾‍♀️🍣🍱",2
135,135,47,kennymxu,2022-09-07 19:09:00+00:00,57,3,7,0,,"Black families actually have significantly lower housing debt ratios than whites (27% of all debt to 47%).  Bank of America’s woke idea to have “zero-down” payments for black families is a nightmare idea that seeks to make Blacks behave like whites, a negative in this regard.",0
138,138,50,tonetalks,2022-09-07 17:19:41+00:00,68,24,2,1,,The issue is BLACKS need the wealth that was stolen NOW not at a unknown date in the future AFTER A #hr40 STUDY. #JacksonWaterCrisis But politicians like Clyburn have already said cash payments “not gonna happen…” &amp; it is #ados that got him to admit it. https://t.co/ysxoQ3nyoQ https://t.co/uoWvHDSeqt,2
146,146,58,Black21412,2022-09-07 22:04:02+00:00,79,3,1,0,,"@BornHereInTexas @OccupyDemocrats It's nice to have them exposed but us blacks in Texas know they don't have to be on a list. Most are racist and aggressive, this is why we are afraid of police. Rightfully so",2
150,150,62,HopHeroes,2022-09-07 22:14:54+00:00,87,5,1,0,,"@scrowder “In the land of the free, where the blacks enslaved/
Three-fifths of a man, I believe's the phrase” - Jay-Z",2
153,153,65,_BarringtonII,2022-09-07 20:22:07+00:00,109,21,27,5,,Please delete this. This is an anti-black tweet that continues the node of white supremacy in this nation. Black people HAVE to treat whites badly because blacks can't be racist and they must even the score of generations of anti-black racism by this white nation.,0
154,154,66,smartstatistic,2022-09-07 19:51:59+00:00,54,22,3,1,,"What religion is against protecting people from a virus? 
SHOW ME IN THE BIBLE WHERE???
Y'all make me sick.

Just say you think only ""queers"", ""Blacks"" &amp; drug users get ""the AIDS"" &amp; that's cool with you. 

Then be gone-you disgusting pro death fucks! 
https://t.co/z8qzwRU2Oc",0
155,155,67,ikeijeh,2022-09-07 23:55:42+00:00,89,6,5,0,,"@David__Osland I'm black, live in East London and grew up in Hackney.

Please, in your evident self-appointed role as 'Race Whisperer For Ethnic Street Kids' (© Saving Blacks One Tweet At A Time!™) tell me where I can find all this ""racist policing"".

Ta.",0
157,157,69,tonetalks,2022-09-07 21:48:54+00:00,253,104,9,3,,"“In the filing Moore and Carnell lay out how Harvard and their partners in the paper set out to incorrectly frame them and their ADOS work product as telling Blacks not to vote, inaccurately portrayed them &amp; ADOS as being tied to Russian disinformation…” https://t.co/Jx1uc6hYMD",2
160,160,72,RevBlackNetwork,2022-09-07 19:37:55+00:00,56,22,1,0,,CIVILITY POLITICS is a TOOL of the Ruling Class | Blacks View RACISM as Persistent Problem | China BEATS the United States in Life Expectancy https://t.co/91m9OmwmWw,2
174,174,86,othmannshady,2022-09-07 19:57:17+00:00,394,4,3,1,,@ej390 SPILLED NOTHING BABE LMAO and You don't stan a black artist i bet you are mexican stay out of blacks business,0
175,175,0,KeyisQueen,2022-09-07 06:31:47+00:00,7340,759,161,285,,Bitch U white calling me ghetto is like calling me a nigger I’ll slap tf out yo racist ass Swiss cheese smelling ass bitch,1
179,179,4,_I_uka,2022-09-07 19:19:24+00:00,71,7,1,0,,NIGGER,0
181,181,6,MoonMonkeyIsle,2022-09-05 20:46:24+00:00,238,39,3,0,,"Me: Hi can I get 4 potions and a Mythril Sword.

Shopkeeper: Thou dos't serve niggers.

Me: Bro... https://t.co/6hrkDtmZ9z",0
188,188,13,briiitttttttt,2022-09-05 15:09:55+00:00,67,24,4,10,,my mama thought she was that girl 😭😭😭😭 bitch i’m getting called a nigger come get me,1
